EN,FR
they re all liars .,ce sont tous des menteurs .
they re all liars .,ce sont toutes des menteuses .
they re all mine .,ils sont tous a moi .
they re all mine .,elles sont toutes a moi .
they re all mine .,ce sont tous les miens .
they re all mine .,ce sont toutes les miennes .
they re all normal .,ils sont tous normaux .
they re all normal .,elles sont toutes normales .
they re all nuts .,ils sont tous dingues .
they re all nuts .,elles sont toutes dingues .
they re all terrified .,ils sont tous terrifies .
they re all terrified .,elles sont toutes terrifiees .
they re all tourists .,ce sont tous des touristes .
they re all tourists .,ce sont toutes des touristes .
they re all waiting .,ils attendent tous .
they re all waiting .,elles attendent toutes .
they re all waiting .,elles sont toutes en train d attendre .
they re all waiting .,ils sont tous en train d attendre .
i m all confused .,je suis tres desoriente .
i m all confused .,je suis tres desorientee .
i m all done .,j ai tout fini .
i m all done .,j ai tout termine .
i m all set .,je suis tout a fait pret .
i m all set .,je suis tout a fait prete .
i m all yours .,je suis tout a toi .
i m all yours .,je suis tout a vous .
i m all yours .,je suis toute a toi .
i m all yours .,je suis toute a vous .
they re all gone .,ils sont tous partis .
they re all gone .,elles sont toutes parties .
they re all gone .,ils ont tous disparu .
they re all gone .,elles ont toutes disparu .
they re all safe .,ils sont tous en securite .
they re all safe .,elles sont toutes en securite .
we are all set .,nous sommes tous prets .
we are all set .,nous sommes toutes pretes .
you re all set ?,vous etes tous prets ?
you re all set ?,vous etes toutes pretes ?
they re all hungry .,ils ont tous faim .
they re all hungry .,elles ont toutes faim .
they re all alike .,ils sont tous semblables .
they re all alike .,elles sont toutes semblables .
you re all mine .,vous etes tous a moi .
you re all mine .,vous etes toutes a moi .
they re all thieves .,ce sont tous des voleurs .
they re all thieves .,ce sont toutes des voleuses .
we re all prisoners .,nous sommes tous prisonniers .
we re all prisoners .,nous sommes toutes prisonnieres .
we re all safe .,nous sommes tous en securite .
we re all safe .,nous sommes toutes en securite .
we re all students .,nous sommes tous etudiants .
we re all students .,nous sommes toutes etudiantes .
we are eleven in all .,nous sommes onze en tout .
he s not all there .,il n est pas tout a fait la .
they are all college students .,ce sont tous des etudiants de la fac .
they are all college students .,ce sont toutes des etudiantes de la fac .
they are five in all .,ils sont cinq en tout .
they are five in all .,elles sont cinq en tout .
they re all watching us .,ils nous regardent tous .
they re all watching us .,elles sont toutes en train de nous regarder .
i m perfectly all right .,je suis parfaitement bien .
we re not all teachers .,nous ne sommes pas tous enseignants .
we re not all teachers .,nous ne sommes pas toutes enseignantes .
we re all having lunch .,nous sommes tous en train de dejeuner .
we re all having lunch .,nous sommes tous en train de diner .
they re all against me .,elles sont toutes contre moi .
they re all against me .,ils sont tous contre moi .
you re all against me .,vous etes tous contre moi .
you re all against me .,vous etes toutes contre moi .
they re all the same .,ils sont tous les memes .
they re all the same .,elles sont toutes les memes .
they re all in there .,ils sont tous la dedans .
they re all in there .,elles sont toutes la dedans .
you re all the same .,vous etes tous pareils .
you re all the same .,vous etes toutes pareilles .
we re all the same .,nous sommes tous les memes .
we re all the same .,nous sommes toutes les memes .
we re all at risk .,nous sommes tous en danger .
we re all at risk .,nous sommes toutes en danger .
i m all for that .,je suis tout a fait pour .
we re all in agreement .,nous sommes tous d accord .
we re all in agreement .,nous sommes toutes d accord .
we re all wasting time .,nous perdons tous du temps .
we re all wasting time .,nous perdons toutes du temps .
we re managing all right .,nous nous en sortons tres bien .
we re all being manipulated .,nous sommes tous en train d etre manipules .
we re all being manipulated .,nous sommes toutes en train d etre manipulees .
we re all going home .,nous allons tous chez nous .
we re all going home .,nous allons toutes chez nous .
we re all going home .,nous allons tous a la maison .
we re all going home .,nous allons toutes a la maison .
we re all done here .,nous en avons completement termine ici .
we re all working hard .,nous travaillons tous dur .
we re all working hard .,nous travaillons toutes dur .
we are good friends .,nous sommes bonnes amies .
we are good friends .,nous sommes de bonnes amies .
we re all right now .,nous allons bien maintenant .
they re not all busy .,ils ne sont pas tous occupes .
they re not all busy .,elles ne sont pas toutes occupees .
they re all on vacation .,ils sont tous en vacances .
they re all on vacation .,elles sont toutes en vacances .
they re all fucking mental .,ce sont tous des putains de malades mentaux .
they re all fucking mental .,ce sont toutes des putains de malades mentales .
they are all good teachers .,ce sont tous de bons enseignants .
they are all good teachers .,ce sont toutes de bonnes enseignantes .
they are all my personal belongings .,ce sont toutes mes affaires personnelles .
he isn t happy at all .,il n est pas du tout satisfait .
he isn t happy at all .,il n est pas du tout content .
they are all alike to me .,ils sont tous semblables a moi .
they are all alike to me .,elles sont toutes semblables a moi .
i m all out of ideas .,je suis depourvu d idees .
i m all out of ideas .,je suis depourvue d idees .
we are all happy to help .,nous sommes tous contents d aider .
we are all happy to help .,nous sommes toutes contentes d aider .
we re all very good players .,nous sommes tous de tres bons joueurs .
we re all very good players .,nous sommes toutes de tres bonnes joueuses .
i m not all that smart .,je ne suis pas si malin .
i m not all that smart .,je ne suis pas si maligne .
i m done with all that .,j en ai fini avec tout ca .
i m not that surprised by it .,je n en suis pas trop etonnee .
they are poorly educated .,elles sont mal elevees .
i m not making any problems for you .,je ne vous cree pas de problemes .
she s going to make some coffee .,elle va preparer du cafe .
she is used to walking long distances .,elle est habituee a marcher de grandes distances .
we re all agreed on that .,nous en sommes toutes d accord .
we re all agreed on that .,nous en sommes tous d accord .
i m not all that busy .,je ne suis pas si occupe que ca .
i m not all that busy .,je ne suis pas si occupee que ca .
we re all together right now .,nous sommes tous ensemble a l instant .
we re all together right now .,nous sommes toutes ensemble a l instant .
we re doing all we can .,nous faisons tout ce que nous pouvons .
you re all i ve got .,tu es tout ce que j ai .
you re all i ve got .,vous etes tout ce que j ai .
you re doing all you can .,vous faites tout ce que vous pouvez .
you re doing all you can .,tu fais tout ce que tu peux .
we re all sure of that .,nous en sommes tous certains .
we re all sure of that .,nous en sommes toutes certaines .
i m not at all afraid .,je n ai pas peur du tout .
she is famed as a soprano .,c est une soprano renommee .
he is blind as a mole .,il est myope comme une taupe .
i m fighting .,je me bats .
she is not as tall as he .,elle n est pas aussi grande que lui .
he is as strong as i am .,il est aussi fort que moi .
he s as stupid as a rock .,il est con comme une buche .
she is as tall as her mother .,elle est aussi grande que sa mere .
he is as happy as a king .,il est heureux comme un roi .
he is poor as a church mouse .,il est fauche comme les bles .
he s as happy as a king .,il est heureux comme un roi .
you are to start as early as possible .,il vous faut demarrer aussitot que possible .
i m in the same boat as you .,vous et moi sommes dans le meme bateau .
i m in the same boat as you .,toi et moi sommes dans le meme bateau .
you re the same age as my girlfriend .,tu as le meme age que ma copine .
you re the same age as my son .,tu as le meme age que mon fils .
you re the same age as my son .,vous avez le meme age que mon fils .
i m waiting for you .,je vous attends .
you re doing it wrong !,tu le fais de travers !
they re waiting for us .,ils nous attendent .
we are changing our clothes .,nous changeons de vetements .
you are a good mother .,tu es une bonne mere .
you re wasting our time .,tu nous fais perdre notre temps .
i m yours .,je suis a toi .
i m yours .,je suis a vous .
they re playing our song .,ils sont en train de jouer notre chanson .
we are working in the interest of peace .,nous travaillons pour la paix .
he is completely absorbed in his business .,il est completement absorbe par ses affaires .
they re jealous of my noodles .,ils envient mes nouilles .
i m really tired .,je suis tres fatiguee .
we re both fine .,nous allons bien toutes les deux .
we re out of wine .,nous n avons plus de vin .
we re going to be here all afternoon .,nous allons etre ici toute l apres midi .
i m going to need some more time .,je vais avoir besoin de plus de temps .
i m going to need some more money .,je vais avoir besoin de plus d argent .
they re going to make mistakes .,ils vont commettre des erreurs .
i m not going to get involved .,je ne vais pas m en meler .
i m not going to name names .,je ne vais pas citer de noms .
i m going to miss you a lot .,tu vas beaucoup me manquer .
i m going to need some more time .,je vais avoir besoin de davantage de temps .
they re going to make mistakes .,elles vont commettre des erreurs .
i m not going to get involved .,je ne vais pas m impliquer .
i m not going to get involved .,je ne vais pas me laisser impliquer .
we re going to work together .,nous allons travailler ensemble .
we re going to work tonight .,nous allons travailler ce soir .
we re going to keep smiling .,nous allons continuer a sourire .
i m going to miss you a lot .,vous allez beaucoup me manquer .
i m not going to name names .,je ne vais pas livrer de noms .
they are hungry this morning .,ils ont bon appetit ce matin .
i m saving as much as i can .,j economise autant que je peux .
you re a good journalist .,vous etes un bon journaliste .
you re too drunk to drive .,tu es trop ivre pour conduire .
you re cooperating .,vous cooperez .
you are rich .,vous etes riches .
you re weak .,vous etes faibles .
you re useless .,vous etes inutiles .
they are going to get married tomorrow .,ils vont se marier demain .
you re avoiding me .,vous m evitez .
you re surrounded .,vous etes cernes .
you re surrounded .,vous etes cernees .
you re surrounded .,vous etes cerne .
you re surrounded .,vous etes cernee .
you re surrounded .,tu es cernee .
we re going to fight .,nous combattrons .
she is a real beauty .,elle est une vrai beaute .
i m horny .,je suis excite .
you are our one millionth customer .,vous etes notre millionieme client .
we re looking for a friend of ours .,nous cherchons l un de nos amis .
they re on our side .,ils sont de notre cote .
they re on our side .,elles sont de notre cote .
he s on our side .,il est de notre cote .
he is on the internet .,il est sur internet .
he s cheating on you !,il te trompe !
he s cheating on you !,il vous trompe !
he s leaning on a cane .,il s appuie sur une canne .
i m counting on your help .,je compte sur ton aide .
i m counting on your help .,je compte sur votre aide .
i m doing pretty well .,je vais assez bien .
i m lying on the grass .,je suis allonge dans l herbe .
i m lying on the grass .,je suis allongee dans l herbe .
you re too hard on yourself .,tu es trop dur avec toi .
you re too hard on yourself .,tu es trop dure avec toi .
you re too hard on yourself .,vous etes trop dur avec vous .
you re too hard on yourself .,vous etes trop dure avec vous .
you re on thin ice mister .,vous marchez sur des ufs monsieur .
she is bent on becoming a lawyer .,elle est resolue a devenir avocate .
i m going to sleep on it .,je vais y songer .
we re not friends we re partners .,nous ne sommes pas amis nous sommes partenaires .
we re not friends we re partners .,nous ne sommes pas amies nous sommes partenaires .
we re on our own .,nous sommes seuls .
we re on our own .,nous sommes seules .
you are early .,vous etes matinale .
you are early .,tu es en avance .
you are early .,vous etes en avance .
you are early .,tu es matinale .
you are early .,tu es matinal .
you re early .,tu viens tot .
you re early .,vous etes matinal .
you re early .,vous etes matinale .
you re early .,tu es matinal .
you re early .,tu es matinale .
you re early .,tu es en avance .
you re early .,vous etes en avance .
you are much too kind to me .,vous etes beaucoup trop gentilles avec moi .
you re very tall .,tu es tres grand .
you re very tall .,tu es tres grande .
you re very tall .,vous etes tres grand .
you re very tall .,vous etes tres grande .
you re very tall .,vous etes tres grands .
you re very tall .,vous etes tres grandes .
we are both adults .,nous sommes tous deux adultes .
i m a single child .,je suis enfant unique .
i m a single child .,je suis fils unique .
i m a single child .,je suis fille unique .
i m home all the time .,je suis a la maison tout le temps .
i m a few minutes late .,je suis en retard de quelques minutes .
i m not afraid to fight .,je n ai pas peur de me battre .
i m not a violent person .,je ne suis pas quelqu un de violent .
i m not a violent person .,je ne suis pas une personne violente .
i m speaking .,je suis en train de parler .
i m talking .,je suis en train de discuter .
you re not paying attention .,tu ne fais pas attention !
i m strongly opposed to a compromise .,je suis farouchement oppose a un compromis .
he s a dunce .,c est un cancre .
she s not answering the phone either .,elle ne repond pas au telephone non plus .
we are content .,nous sommes contents .
i m only a newbie .,je ne suis qu un internaute novice .
i m fed up with him !,j en ai marre de lui !
i am fed up with my old fridge .,j en ai assez de mon vieux frigo .
i m on the interstate .,je suis sur l autoroute .
they are on the air now .,ils sont actuellement a l antenne .
he is always on my side .,il est toujours de mon cote .
she s out for a walk .,elle est allee se promener .
you re probably tired .,tu es probablement fatigue .
you re probably tired .,tu es probablement fatiguee .
you re probably tired .,vous etes probablement fatigue .
you re probably tired .,vous etes probablement fatiguee .
you re probably tired .,vous etes probablement fatigues .
you re probably tired .,vous etes probablement fatiguees .
you re standing on my foot !,tu te tiens sur mon pied !
you re standing on my foot !,vous vous tenez sur mon pied !
she s on the honor roll .,elle figure sur la liste des nomines .
i m on my car phone .,je suis sur mon telephone de voiture .
he s either crazy or on drugs .,il est soit fou soit drogue .
you re off in your reckoning .,vos calculs sont faux .
she is busy typing up reports .,elle est occupee a taper des rapports .
you aren t allowed to park there .,vous n etes pas autorises a stationner la .
you aren t allowed to park there .,tu n es pas autorise a stationner la .
i m still the boss around here .,c est encore moi le patron ici .
i m going to be a father .,je vais etre papa .
we re not proud of it .,nous n en sommes pas fiers .
i m going to paris tomorrow .,je vais a paris demain .
i m not an easy girl .,je ne suis pas une fille facile .
we aren t kids anymore .,on n est plus des enfants .
we are happy together .,nous sommes heureux ensemble .
we are happy together .,nous sommes heureuses ensemble .
he s eating .,il est en train de manger .
he s eating .,il mange .
i m eating lunch .,je dejeune .
i m eating cheese .,je mange du fromage .
i am eating a pear .,je mange une poire .
she s eating a pear .,elle mange une poire .
she s better than us .,elle est meilleure que nous .
i m worried .,je me fais du souci .
i m working .,je suis en train de travailler .
i m wasted .,je suis affaiblie .
i m vegetarian .,je suis vegetarien .
i m vegetarian .,je suis vegetarienne .
i m touched .,je suis touche .
i m touched .,je suis touchee .
i m ticklish .,je suis chatouilleux .
i m ticklish .,je suis chatouilleuse .
i m through .,j en ai fini .
i m through .,j en ai termine .
i m thrilled .,je suis ravi .
i m thrilled .,je suis ravie .
i m thirty .,j ai trente ans .
i m terrified .,je suis terrifie .
i m terrified .,je suis terrifiee .
i m teasing .,je taquine .
i m stubborn .,je suis tetu .
i m stubborn .,je suis tetue .
i m stubborn .,je suis obstine .
i m stubborn .,je suis obstinee .
i m staying .,je reste .
i m single .,je suis celibataire .
i m ruined .,je suis ruine .
i m ruined .,je suis ruinee .
i m restless .,je ne tiens pas en place .
i m rested .,je suis repose .
i m rested .,je suis reposee .
i m resourceful .,je suis plein de ressources .
i m resourceful .,je suis pleine de ressources .
i m resigning .,je demissionne .
i m replaceable .,je suis remplacable .
i m remodeling .,je suis en train de reamenager .
i m relaxed .,je suis detendu .
i m relaxed .,je suis detendue .
i m reformed .,je me suis amende .
i m reformed .,je me suis amendee .
i m quitting .,je demissionne .
i m psyched .,je suis remonte .
i m prepared .,je suis pret .
i m prepared .,je suis preparee .
i m prepared .,je suis prepare .
i m plastered .,je suis bourre .
i m paying .,je suis en train de payer .
i m paying .,c est moi qui paie .
i m optimistic .,je suis optimiste .
i m offended .,je suis offense .
i m offended .,je suis offensee .
i m observant .,je suis observateur .
i m observant .,je suis observatrice .
i m observant .,je suis respectueux .
i m observant .,je suis respectueuse .
i m correct .,j ai raison .
i m creative .,je suis creatif .
i m creative .,je suis creative .
i m cultured .,je suis cultive .
i m cultured .,je suis cultivee .
i m dependable .,on peut compter sur moi .
i m dependable .,je suis fiable .
i m faithful .,je suis fidele .
i m famous .,je suis connu .
i m famous .,je suis connue .
i m fearless .,je suis intrepide .
i m finicky .,je suis meticuleux .
i m finicky .,je suis meticuleuse .
i m first .,je suis en premier .
i m forgetful .,je suis distrait .
i m forgetful .,je suis distraite .
i m forgetful .,je suis etourdi .
i m forgetful .,je suis etourdie .
i m frantic .,je suis affole .
i m frantic .,je suis affolee .
i m frightened .,j ai peur .
i m fussy .,je suis difficile .
i m fussy .,je suis tatillon .
i m fussy .,je suis tatillonne .
i m greedy .,je suis cupide .
i m greedy .,je suis gourmand .
i m greedy .,je suis gourmande .
i m hardworking .,je suis applique .
i m hardworking .,je suis appliquee .
i m honest .,je suis honnete .
i m humble .,je suis humble .
i m illiterate .,je suis analphabete .
i m impulsive .,je suis impulsif .
i m impulsive .,je suis impulsive .
i m introverted .,je suis introverti .
i m introverted .,je suis introvertie .
i m involved .,je suis implique .
i m involved .,je suis impliquee .
i m jittery .,j ai la frousse .
i m lazy .,je suis paresseux .
i m lazy .,je suis paresseuse .
i am lazy .,je suis paresseuse .
i am lazy .,je suis paresseux .
i am lazy .,je suis faineant .
i am lazy .,je suis faineante .
i m lazy .,je suis faineante .
i m lazy .,je suis faineant .
we aren t married .,nous ne sommes pas maries .
we aren t married .,nous ne sommes pas mariees .
i m loaded .,je suis saoul .
i m untalented .,je n ai pas de talent .
i m untalented .,je suis depourvu de talent .
i m untalented .,je suis depourvue de talent .
i m upset .,je suis contrarie .
i m upset .,je suis contrariee .
i m weak .,je suis faible .
i am weak .,je suis faible .
i m wealthy .,je suis riche .
i m wealthy .,je suis fortune .
i m wealthy .,je suis fortunee .
i m wise .,je suis sage .
i m drowning .,je suis en train de me noyer .
i m exercising .,je m entraine .
i m exercising .,je suis en train de m entrainer .
i m hiding .,je me cache .
i m housesitting .,je garde la maison .
i m humming .,je fredonne .
i m interfering .,je derange .
i m meditating .,je suis en train de mediter .
i m moving .,je suis en train de demenager .
i m overreacting .,je sur reagis .
i m persevering .,je persevere .
i m standing .,je me tiens debout .
i m surviving .,je survis .
i m hungover .,j ai la gueule de bois .
i m dissatisfied .,je ne suis pas content .
i m dissatisfied .,je ne suis pas satisfait .
i m tall .,je suis grand .
i m tall .,je suis grande .
i m eighteen .,j ai dix huit ans .
i am here .,je suis ici .
i am here .,je suis la .
i m faster .,je suis plus rapide .
i m unconvinced .,je ne suis pas convaincu .
i m unconvinced .,je ne suis pas convaincue .
i am off today .,je suis en conge aujourd hui .
i am off today .,je ne suis pas de service aujourd hui .
i am off today .,je ne suis pas en service aujourd hui .
we re hiding .,nous nous cachons .
we re bored .,nous nous ennuyons .
we are used to wearing shoes .,nous sommes habitues a porter des chaussures .
he is the author of the article .,il est l auteur de l article .
i m going to write down the address .,je vais noter l adresse .
i m talking to you as a friend .,je te parle comme a un ami .
i m not at work today .,je ne suis pas au travail aujourd hui .
i m not in the office today .,je ne suis pas au bureau aujourd hui .
they are apocryphal writings .,ce sont des ecrits apocryphes .
i m happy with my salary .,je suis content de mon salaire .
i m not dictating them .,je ne les dicte pas .
i m not afraid any more .,je n ai plus peur .
you are not a child any more .,tu n es plus une enfant .
i m loving it .,j aime ca .
you re the only canadian i know .,tu es la seule canadienne que je connaisse .
you re the only canadian i know .,tu es le seul canadien que je connaisse .
we are defending the same cause .,nous defendons la meme cause .
i m on the phone with him now .,je suis au telephone avec lui maintenant .
we re closed on mondays .,nous sommes fermes le lundi .
he is the devil incarnate .,il est l incarnation du diable .
they re going to leave a night earlier .,ils vont partir une nuit plus tot .
i am a busy person .,je suis une personne occupee .
i m a busy person .,je suis une personne occupee .
i m a monster .,je suis un monstre .
you re a teacher right ?,tu es enseignant n est ce pas ?
i am years old .,j ai douze ans .
we aren t disappointed .,nous ne sommes pas decus .
we re currently studying the project s feasibility .,nous etudions actuellement la faisabilite du projet .
i m reading the new york times .,je lis le new york times .
he is far from rich .,il est loin d etre riche .
i am an earthling .,je suis terrienne .
they are alone .,elles sont seules .
they are alone .,ils sont seuls .
we re too close .,nous sommes trop proches .
i m departing this evening .,je pars ce soir .
he s always learning something .,il apprend toujours quelque chose .
he s eight as of yesterday .,il a huit ans depuis hier .
i am sure that he will win .,je suis certain qu il gagnera .
i am at the bank .,je suis a la banque .
i m sorry if i m bothering you .,je suis desole si je te derange .
i m done thinking .,j en ai marre de penser .
i m a little hurt .,j ai un peu mal .
i m waiting for lunch .,j attends le dejeuner .
i m a good for nothing bum .,je suis un clochard bon a rien .
they aren t dumber than you .,ils ne sont pas plus stupides que vous .
they aren t dumber than you .,elles ne sont pas plus stupides que vous .
they aren t dumber than you .,ils ne sont pas plus stupides que toi .
they aren t dumber than you .,elles ne sont pas plus stupides que toi .
she s not dumber than you .,elle n est pas plus stupide que toi .
she s not dumber than you .,elle n est pas plus stupide que vous .
he isn t dumber than you .,il n est pas plus stupide que toi .
he isn t dumber than you .,il n est pas plus stupide que vous .
he is driving very fast .,il roule tres vite .
they re lying to us .,ils nous mentent .
they re my friends .,ils sont mes amis .
i m tired of all this nagging .,je suis fatigue de toutes ces reflexions .
they re doctors .,ils sont medecins .
they re doctors .,elles sont medecins .
i m masensen . i m not mohand .,je suis masensen je ne suis pas mohand .
you re going crazy .,tu deviens folle .
you re going crazy .,tu deviens fou .
he s always late for school .,il est toujours en retard a l ecole .
i m glad you met tom .,je suis heureuse que tu aies rencontre tom .
i m sorry to see tom go .,il me desole de voir tom partir .
i m sure tom is suffering .,je suis certain que tom souffre .
i m sure tom is suffering .,je suis certaine que tom souffre .
he is available now .,il est disponible maintenant .
i m still not satisfied .,je ne suis toujours pas satisfait .
i m back from vacation .,je suis de retour de vacances .
i m afraid he cannot come .,je crains qu il ne puisse venir .
you re one savvy negotiator .,vous etes un negociateur avise .
i m already bored .,je m ennuie deja .
she s a bit of a snob .,elle est un peu snob .
he s a bit of a snob .,il est un peu snob .
you re not wearing any pants .,tu ne portes aucun pantalon .
you are more stupid than i thought .,tu es plus idiot que je pensais .
he is more handsome than you think .,il est plus beau que tu le penses .
she is more beautiful than you think .,elle est plus belle que tu le penses .
he is more handsome than you think .,il est plus beau que tu penses .
she is more beautiful than you think .,elle est plus belle que tu penses .
i m going to be a lawyer .,je vais devenir avocat .
i m in a better mood now .,je suis de meilleur humeur maintenant .
i m in a good mood today .,je suis de bonne humeur aujourd hui .
i m making a documentary .,je realise un documentaire .
i m not that type of guy .,je ne suis pas ce genre de gars .
i m sure i can do better .,je suis certain de pouvoir faire mieux .
i m trying something new .,j essaye quelque chose de nouveau .
i m trying something new .,j essaie quelque chose de nouveau .
she s a patient woman .,c est une femme patiente .
i m not going to allow that .,je ne vais pas autoriser ca .
you re three years younger than tom .,tu as trois ans de moins que tom .
i m happy with what i ve got .,je suis heureux avec ce que j ai .
i m happy with what i ve got .,je suis heureux avec ce que je possede .
he is shaking like a leaf .,il tremble comme une feuille .
they are not coming .,ils ne viennent pas .
they are not coming .,elles ne viennent pas .
we re at home .,nous sommes a la maison .
he is too young .,il est trop jeune .
she is too young .,elle est trop jeune .
we re in the garden .,nous sommes dans le jardin .
i am nothing .,je ne suis rien .
they re french .,ils sont francais .
i m not talking to you .,je ne parle pas avec vous .
i m not talking to you .,je ne parle pas avec toi .
i m not talking to tom .,je ne parle pas avec tom .
i m not talking to her .,je ne parle pas avec elle .
i m pretty sure tom s serious .,je suis convaincu que tom est serieux .
we re getting fat .,nous grossissons .
we re still friends .,nous sommes toujours amis .
i m a little skeptical .,je suis un peu sceptique .
we are starting to eat .,on commence a manger .
we re jealous .,nous sommes jalouses .
he s swiss .,il est helvete .
he is swiss .,il est helvete .
i m azerbaijani .,je suis azeri .
i m azeri .,je suis azeri .
she s not a virgin anymore .,elle n est plus vierge .
he s cooking .,il cuit .
he s cooking .,il cuisine .
he s one of her many lovers .,c est un de ses nombreux amants .
i m terrible at chess .,je suis mauvais aux echecs .
i m an extremely humble person .,je suis une personne extremement humble .
i m beyond happy .,je suis plus qu heureux .
i m on the way home .,je suis sur le chemin de la maison .
they re so funny .,ils sont si droles .
we re very happy .,nous sommes tres heureux .
we re all unique .,nous sommes tous uniques .
i m in absolutely total agreement .,je suis totalement d accord .
i m still waiting for your answer .,j attends toujours ta reponse .
i m still waiting for your answer .,j attends toujours votre reponse .
you re clever . but not clever enough .,tu es malin . mais pas assez malin .
i m beyond happy !,je suis plus qu heureux !
i am taking a dance class .,je prends un cours de danse .
they re interrogating her .,ils sont en train de l interroger .
we re looking for a place to sleep .,nous cherchons un endroit ou dormir .
they aren t going to help tom .,ils ne vont pas aider tom .
we re on the same side .,nous sommes du meme cote .
you re pathetic .,tu es pathetique .
you re pathetic .,vous etes pathetique .
you re pathetic .,vous etes pathetiques .
i am not interested in this .,cela ne m interesse pas !
she is too sincere sometimes it hurts me .,elle est trop sincere parfois ca me blesse .
he is not at all a gentleman .,ce n est pas du tout un gentleman .
he is not at all a gentleman .,il n est pas du tout un gentleman .
i m still married .,je suis toujours marie .
i m still married .,je suis toujours mariee .
i m still married .,je suis encore marie .
i m still married .,je suis encore mariee .
we re your last hope .,nous sommes ton dernier espoir .
we re your last hope .,nous sommes votre dernier espoir .
i m going to boston for three months .,je vais a boston pour trois mois .
i m also learning french .,j apprends egalement le francais .
i m also learning french .,j apprends aussi le francais .
i m tired of boston .,je suis las de boston .
i m tired of boston .,je suis fatigue de boston .
i m tired of boston .,je suis fatiguee de boston .
i m just thinking out loud .,je ne fais que penser a haute voix .
i m going to call an ambulance .,je vais appeler une ambulance .
we re here to play basketball .,nous sommes la pour jouer au basket .
i m worried about you .,je m inquiete pour toi .
you re still alive .,vous etes toujours vivant .
you re still alive .,vous etes toujours vivants .
you re still alive .,tu es toujours vivant .
you re still alive .,tu es toujours vivante .
you re still alive .,vous etes toujours vivante .
you re still alive .,vous etes toujours vivantes .
i m getting used to eating alone .,je m habitue a manger seul .
i m getting used to eating alone .,je m habitue a manger seule .
i m right outside .,je suis juste a l exterieur .
i m colour blind .,je suis daltonien .
we re lowering ourselves to his level .,nous nous abaissions a son niveau .
you re in danger tom .,tu es en danger tom .
you re in danger tom .,vous etes en danger tom .
you re not even paying attention .,tu ne pretes meme pas attention .
you re not even paying attention .,vous ne pretez meme pas attention .
we re not from around here .,nous ne sommes pas du coin .
we re not from around here .,nous ne sommes pas d ici .
i m totally drunk .,je suis completement saoul .
they re outside .,ils sont dehors .
they re outside .,ils sont a l exterieur .
you re much taller than tom is .,tu es bien plus grand que tom .
you re so mean .,vous etes si mechant .
you re so mean .,tu es si mechant .
you re so mean .,tu es si mechante .
you re so mean .,vous etes si mechante .
you re so mean .,vous etes si mechants .
you re so mean .,vous etes si mechantes .
i m used to this sort of thing .,je suis habitue a ce genre de choses .
i m used to this sort of thing .,je suis habituee a ce genre de choses .
i m sorry about your loss .,je suis desole pour votre perte .
i m sorry about your loss .,je suis desolee pour votre perte .
you re hurting him .,vous lui faites mal .
you re hurting him .,tu lui fais mal .
i m looking at a pretty picture .,je regarde une belle image .
they are in a scientific laboratory .,ils sont dans un laboratoire scientifique .
she is certain to be surprised .,elle est assuree d etre surprise .
i m pretty proud of that .,je suis assez fier de cela .
i m not thinking about it .,je n y pense pas .
i m going to move next month .,je vais demenager le mois prochain .
you re driving me nuts .,tu me rends dingue .
you re driving me nuts .,vous me rendez fou .
he is not wearing a hat .,il ne porte pas de chapeau .
i m deeply offended by this .,je suis profondement offense par ceci .
i m deeply offended by this .,je suis profondement offensee par ceci .
we re trustworthy .,nous sommes dignes de confiance .
you re going to love our food .,vous allez adorer nos plats .
you re going to love our food .,tu vas adorer notre nourriture .
i m sure i can persuade tom .,je suis certain de pouvoir persuader tom .
i m sure i can persuade tom .,je suis sure de pouvoir persuader tom .
we re buying movie tickets .,nous achetons des billets de cinema .
you re making a terrible mistake .,vous faites une grossiere erreur .
you re making a terrible mistake .,tu fais une grave erreur .
i m going to protect you tom .,je vais te proteger tom .
i m going to protect you tom .,je vais vous proteger tom .
i m on duty .,je suis en service .
i m glad you re early .,je suis content que tu sois en avance .
i m glad you re early .,je suis contente que vous soyez en avance .
i m at a friend s house .,je suis chez un ami .
i m at a friend s house .,je suis chez une amie .
i m glad we understand each other .,je suis ravi que nous nous comprenions .
you re worrying too much .,tu t inquietes trop .
i am not interested in politics .,la politique ne m interesse pas .
we re wasting valuable time here .,nous gachons un temps precieux .
i m not forcing you .,je ne vous y force pas .
you re almost as tall as tom .,vous etes presque aussi grand que tom .
you re almost as tall as tom .,tu es presque aussi grand que tom .
i m methodical .,je suis methodique .
she is less beautiful than her sister is .,elle est moins jolie que sa s ur .
i m shorter than you .,je suis plus petit que toi .
i am shorter than you .,je suis plus petit que toi .
i am shorter than you .,je suis plus petite que vous .
i m shorter than you .,je suis plus petite que vous .
i m shorter than you .,je suis plus petit que vous .
i am shorter than you .,je suis plus petit que vous .
i m dyeing my hair black .,je me teins les cheveux en noir .
we are planning a trip to new york .,nous planifions un voyage pour new york .
i m sorry to hear that .,ca me fait mal d entendre ca .
i am sorry to hear that .,ca me fait mal d entendre ca .
we re just going to talk .,nous allons simplement discuter .
we re just going to talk .,on va simplement parler .
i m too old for tom .,je suis trop vieille pour tom .
i m too old for tom .,je suis trop age pour tom .
i m too old for tom .,je suis trop agee pour tom .
i m too old for tom .,je suis trop vieux pour tom .
